Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
28-04-2022,S003,P0013,Clothing,East,187,115,161,133.59,40.7,15,Sunny,0,37.63,Winter
03-03-2022,S002,P0007,Clothing,South,164,39,98,57.24,73.44,0,Cloudy,0,71.73,Summer
27-05-2022,S002,P0010,Furniture,East,311,279,49,289.44,42.09,20,Rainy,0,45.99,Spring
27-01-2022,S004,P0019,Toys,South,135,67,128,62.85,76.74,15,Sunny,1,72.2,Winter
07-02-2022,S001,P0009,Groceries,South,90,8,134,5.63,93.17,20,Rainy,1,91.51,Summer
10-04-2022,S005,P0008,Electronics,North,439,102,63,103.07,33.36,15,Snowy,1,29.14,Summer
29-01-2022,S001,P0006,Clothing,East,460,436,29,432.32,65.23,20,Snowy,1,61.38,Winter
15-01-2022,S003,P0014,Clothing,East,168,70,69,81.72,44.0,20,Sunny,0,45.93,Autumn
25-05-2022,S002,P0002,Electronics,East,95,69,125,66.02,55.04,0,Snowy,0,53.45,Winter
10-04-2022,S005,P0020,Furniture,North,133,102,109,103.49,41.8,10,Cloudy,1,37.13,Summer
24-01-2022,S001,P0020,Toys,South,164,29,113,28.69,85.04,20,Cloudy,0,85.32,Autumn
19-05-2022,S005,P0003,Toys,West,463,9,93,7.68,62.1,15,Cloudy,0,64.83,Winter
07-05-2022,S001,P0009,Electronics,South,465,430,122,448.51,20.6,0,Rainy,0,17.25,Autumn
15-03-2022,S002,P0014,Groceries,North,222,15,97,6.29,36.11,15,Snowy,1,37.95,Autumn
06-02-2022,S003,P0012,Clothing,South,454,300,60,314.07,79.07,15,Sunny,1,80.3,Summer
23-01-2022,S005,P0009,Toys,East,105,103,196,122.51,53.0,10,Sunny,0,56.84,Autumn
06-02-2022,S002,P0004,Clothing,East,184,83,117,99.12,38.62,0,Rainy,0,36.97,Autumn
17-05-2022,S001,P0019,Furniture,North,365,8,114,3.74,25.74,15,Sunny,1,24.81,Autumn
18-02-2022,S004,P0019,Toys,South,301,75,99,88.38,11.62,5,Rainy,1,13.18,Winter
18-01-2022,S001,P0014,Toys,North,73,25,48,41.37,13.33,15,Cloudy,1,13.35,Autumn
26-05-2022,S001,P0006,Clothing,East,268,95,165,96.67,61.58,15,Sunny,0,59.7,Winter
05-02-2022,S005,P0010,Electronics,East,237,161,91,179.9,37.22,5,Snowy,1,39.54,Summer
05-04-2022,S004,P0007,Electronics,South,222,79,149,74.4,13.79,20,Sunny,1,16.89,Autumn
21-02-2022,S003,P0016,Clothing,West,180,77,154,74.06,43.02,20,Sunny,1,39.63,Spring
06-05-2022,S005,P0015,Clothing,South,65,47,63,56.01,16.81,20,Cloudy,1,15.16,Summer
17-05-2022,S004,P0014,Toys,South,303,291,141,281.55,62.12,0,Snowy,0,59.36,Autumn
06-02-2022,S004,P0010,Clothing,West,492,198,68,214.9,75.33,15,Snowy,1,78.85,Summer
24-05-2022,S002,P0005,Furniture,East,430,186,53,191.82,13.7,10,Sunny,1,18.53,Summer
16-05-2022,S002,P0005,Toys,West,288,128,200,140.63,72.58,5,Rainy,0,72.25,Spring
25-03-2022,S005,P0005,Clothing,West,162,56,57,58.66,50.67,5,Snowy,1,51.31,Spring
23-05-2022,S001,P0011,Toys,South,344,308,142,321.11,99.53,15,Rainy,1,95.22,Autumn
13-02-2022,S005,P0008,Electronics,South,204,192,22,211.64,70.05,5,Sunny,1,71.39,Winter
02-04-2022,S002,P0004,Electronics,West,96,89,196,99.76,53.02,5,Snowy,0,57.21,Summer
20-03-2022,S005,P0015,Groceries,West,178,50,172,64.57,12.06,5,Snowy,0,8.76,Spring
15-01-2022,S005,P0010,Electronics,West,414,243,75,241.79,73.53,5,Rainy,1,73.11,Summer
17-01-2022,S001,P0007,Toys,South,332,194,170,184.33,60.66,10,Cloudy,0,60.59,Summer
27-03-2022,S005,P0015,Groceries,West,59,47,103,46.2,28.75,20,Sunny,1,27.43,Winter
27-03-2022,S002,P0009,Toys,South,317,279,101,270.42,75.87,0,Rainy,1,80.42,Winter
15-01-2022,S001,P0003,Furniture,West,407,90,85,100.4,21.06,10,Rainy,0,18.65,Autumn
04-04-2022,S005,P0008,Groceries,South,162,132,115,126.26,86.37,20,Snowy,0,81.88,Autumn
05-02-2022,S001,P0020,Toys,North,251,209,31,207.55,91.98,15,Rainy,1,90.67,Autumn
02-02-2022,S005,P0018,Furniture,West,86,28,38,46.17,55.89,5,Cloudy,1,56.08,Autumn
11-01-2022,S001,P0007,Groceries,East,416,79,105,70.02,74.55,5,Rainy,1,79.42,Summer
28-01-2022,S005,P0012,Electronics,North,426,345,47,339.88,11.59,5,Sunny,1,12.96,Autumn
28-01-2022,S001,P0005,Groceries,South,492,366,97,366.09,24.27,15,Snowy,1,25.97,Winter
26-02-2022,S001,P0014,Furniture,North,254,168,148,174.13,93.64,20,Snowy,0,95.17,Summer
21-05-2022,S002,P0011,Groceries,East,397,72,177,62.38,37.07,15,Snowy,1,36.7,Summer
26-02-2022,S005,P0004,Furniture,North,74,5,191,22.8,45.89,5,Snowy,0,43.26,Autumn
03-05-2022,S005,P0008,Furniture,West,325,66,50,60.87,90.21,5,Cloudy,0,94.63,Summer
24-02-2022,S001,P0001,Toys,East,277,177,108,169.54,25.72,10,Snowy,1,29.31,Winter
24-01-2022,S003,P0018,Furniture,North,477,52,127,63.39,63.04,15,Snowy,1,66.02,Autumn
27-05-2022,S005,P0001,Clothing,South,118,10,56,5.28,72.35,5,Rainy,1,69.39,Autumn
03-01-2022,S005,P0011,Groceries,North,119,40,151,43.92,74.14,0,Cloudy,1,69.67,Winter
06-05-2022,S002,P0015,Groceries,South,487,116,72,121.07,97.55,5,Snowy,1,102.16,Spring
01-03-2022,S001,P0009,Groceries,North,63,24,156,30.83,83.25,5,Snowy,0,80.0,Winter
19-05-2022,S001,P0019,Clothing,West,375,9,106,0.86,53.78,0,Rainy,0,57.07,Winter
07-03-2022,S005,P0015,Electronics,East,96,74,102,69.29,79.96,0,Cloudy,0,80.52,Autumn
01-01-2022,S005,P0009,Groceries,West,182,97,27,92.62,87.81,5,Snowy,0,85.45,Spring
10-05-2022,S005,P0019,Electronics,West,488,123,131,142.62,26.33,15,Sunny,1,30.62,Spring
23-01-2022,S002,P0013,Groceries,East,111,10,97,13.43,24.68,5,Snowy,1,26.87,Winter
24-03-2022,S004,P0014,Electronics,North,210,17,75,7.31,98.39,5,Sunny,0,94.17,Autumn
04-04-2022,S002,P0003,Electronics,North,197,43,164,56.33,52.23,20,Snowy,0,56.47,Summer
21-03-2022,S004,P0005,Clothing,North,67,5,38,21.11,62.18,15,Cloudy,0,61.07,Summer
01-04-2022,S002,P0018,Toys,West,235,189,153,198.06,14.89,15,Rainy,0,12.96,Autumn
25-04-2022,S001,P0009,Groceries,West,239,40,92,47.16,46.39,5,Rainy,0,43.35,Summer
25-03-2022,S005,P0012,Electronics,East,119,77,107,77.84,83.52,10,Rainy,1,84.04,Winter
28-04-2022,S003,P0010,Furniture,North,296,74,49,78.75,79.41,5,Cloudy,1,80.28,Summer
11-01-2022,S003,P0017,Clothing,West,334,320,138,311.88,78.35,15,Sunny,0,79.66,Summer
10-01-2022,S001,P0004,Electronics,East,147,18,124,15.62,74.05,20,Cloudy,1,76.45,Summer
23-05-2022,S002,P0001,Furniture,South,197,194,49,188.23,42.37,0,Rainy,0,37.94,Summer
17-05-2022,S002,P0007,Clothing,West,252,44,82,50.53,19.57,0,Snowy,1,22.36,Summer
21-01-2022,S002,P0020,Furniture,North,309,229,132,220.65,45.26,15,Sunny,1,48.9,Winter
17-01-2022,S001,P0012,Furniture,North,129,120,98,119.72,58.16,10,Sunny,1,59.81,Autumn
26-05-2022,S001,P0020,Groceries,East,407,269,32,266.7,53.93,10,Sunny,1,56.0,Spring
08-01-2022,S002,P0017,Groceries,West,160,153,56,167.47,81.09,15,Sunny,0,86.01,Spring
01-03-2022,S004,P0004,Electronics,East,144,73,125,68.7,28.43,20,Sunny,0,27.12,Autumn
29-04-2022,S004,P0016,Toys,East,420,36,145,43.61,71.93,10,Sunny,1,69.02,Autumn
15-03-2022,S001,P0009,Electronics,South,89,20,35,34.22,66.85,5,Sunny,1,69.67,Autumn
01-04-2022,S003,P0013,Electronics,South,86,0,88,14.75,53.51,15,Cloudy,0,57.6,Summer
03-03-2022,S004,P0018,Electronics,North,209,44,116,46.63,44.08,0,Rainy,1,44.69,Winter
16-05-2022,S003,P0016,Electronics,South,56,44,99,41.3,53.24,15,Sunny,1,55.12,Spring
29-01-2022,S004,P0005,Furniture,West,301,163,163,166.75,15.9,5,Cloudy,0,20.18,Summer
11-04-2022,S003,P0017,Clothing,West,408,159,186,165.63,69.12,0,Snowy,1,64.51,Summer
15-01-2022,S001,P0019,Electronics,West,461,215,179,222.11,16.35,20,Cloudy,0,16.89,Winter
01-03-2022,S001,P0015,Groceries,South,384,81,177,94.36,26.92,15,Rainy,1,29.69,Autumn
11-02-2022,S003,P0009,Clothing,West,256,164,74,169.26,85.07,5,Cloudy,1,83.76,Winter
12-05-2022,S001,P0010,Clothing,North,123,94,183,94.89,56.84,20,Rainy,0,61.22,Winter
17-05-2022,S005,P0006,Furniture,East,158,151,72,168.63,10.74,10,Snowy,1,6.12,Autumn
11-01-2022,S001,P0011,Toys,South,292,249,168,264.12,63.1,15,Rainy,0,63.62,Summer
28-03-2022,S002,P0015,Clothing,North,324,86,141,92.18,12.67,10,Sunny,0,17.35,Spring
17-03-2022,S005,P0009,Furniture,West,119,87,22,91.67,18.71,20,Rainy,1,18.44,Summer
11-02-2022,S005,P0010,Groceries,South,276,162,20,178.26,87.42,15,Cloudy,1,88.48,Spring
30-05-2022,S003,P0014,Groceries,South,290,136,200,133.84,33.71,5,Snowy,0,31.76,Spring
16-04-2022,S002,P0009,Toys,North,321,106,90,96.54,64.2,5,Sunny,0,62.12,Spring
09-04-2022,S002,P0005,Furniture,West,409,114,169,122.73,91.7,10,Cloudy,0,89.68,Summer
21-02-2022,S003,P0006,Furniture,South,334,141,97,155.51,69.33,15,Sunny,1,67.69,Spring
31-03-2022,S002,P0018,Electronics,East,338,315,135,330.29,83.94,0,Sunny,1,79.93,Autumn
07-04-2022,S001,P0016,Toys,East,130,4,100,16.63,74.41,15,Rainy,0,75.08,Winter
29-03-2022,S001,P0001,Electronics,West,110,3,65,-1.27,65.91,5,Rainy,0,63.5,Winter
08-02-2022,S001,P0001,Toys,West,140,12,48,15.6,67.64,10,Cloudy,0,69.12,Spring
14-04-2022,S005,P0002,Furniture,South,288,150,88,141.91,93.25,20,Rainy,1,90.14,Autumn
07-02-2022,S003,P0006,Electronics,North,136,29,26,42.3,61.12,20,Rainy,1,65.59,Spring
01-04-2022,S004,P0014,Groceries,West,139,60,165,50.43,11.17,0,Snowy,1,7.16,Spring
24-04-2022,S004,P0002,Toys,South,65,3,156,5.38,37.74,0,Snowy,0,35.9,Winter
22-03-2022,S003,P0009,Clothing,East,211,157,91,173.53,77.47,10,Snowy,0,81.99,Winter
14-01-2022,S005,P0006,Groceries,West,216,144,126,137.13,54.23,10,Cloudy,0,50.36,Summer
12-04-2022,S005,P0003,Groceries,East,161,128,196,146.46,59.24,15,Cloudy,1,61.05,Spring
18-02-2022,S004,P0013,Clothing,South,322,119,95,130.07,51.38,20,Snowy,1,46.78,Winter
08-01-2022,S002,P0016,Clothing,South,125,34,24,42.41,24.24,20,Cloudy,1,19.87,Spring
27-02-2022,S001,P0013,Clothing,East,183,162,148,169.03,21.8,15,Sunny,1,26.48,Summer
24-02-2022,S002,P0003,Toys,West,494,7,123,15.51,97.59,0,Sunny,0,101.59,Spring
10-02-2022,S001,P0013,Clothing,East,443,205,129,207.01,57.93,10,Rainy,0,57.94,Autumn
29-01-2022,S003,P0019,Toys,South,90,33,58,37.63,18.87,0,Sunny,1,22.49,Spring
09-04-2022,S005,P0017,Furniture,South,208,139,149,155.04,31.02,10,Cloudy,1,33.68,Summer
15-02-2022,S002,P0017,Groceries,South,491,380,125,394.43,73.68,0,Sunny,1,73.95,Spring
15-02-2022,S005,P0001,Toys,West,264,113,151,122.68,92.45,10,Snowy,0,92.69,Autumn
18-03-2022,S003,P0016,Groceries,South,202,171,103,173.36,58.5,5,Rainy,1,57.47,Autumn
01-03-2022,S005,P0019,Electronics,West,303,23,150,24.98,50.26,20,Sunny,0,45.31,Autumn
09-01-2022,S005,P0005,Furniture,North,267,101,67,106.31,90.11,10,Rainy,0,85.86,Autumn
01-04-2022,S002,P0007,Groceries,East,366,88,45,98.65,77.08,20,Cloudy,1,73.64,Summer
02-02-2022,S002,P0014,Clothing,South,371,330,75,328.88,19.53,15,Rainy,0,22.41,Autumn
26-02-2022,S001,P0002,Groceries,South,280,160,109,163.62,60.41,15,Rainy,1,59.62,Autumn
25-01-2022,S001,P0018,Furniture,North,308,280,31,299.89,36.9,10,Rainy,0,32.52,Summer
23-02-2022,S003,P0019,Toys,North,314,174,188,172.3,70.09,5,Rainy,1,66.42,Spring
21-04-2022,S001,P0010,Furniture,North,251,141,89,157.5,89.28,5,Cloudy,1,90.41,Autumn
19-02-2022,S003,P0009,Clothing,East,371,343,191,358.34,15.75,0,Sunny,0,17.78,Summer
01-03-2022,S002,P0014,Toys,East,219,93,77,108.92,52.35,20,Snowy,0,48.27,Winter
30-01-2022,S001,P0020,Clothing,South,448,67,40,60.3,52.51,10,Rainy,0,54.38,Spring
19-04-2022,S002,P0019,Furniture,East,487,345,81,350.59,60.03,20,Sunny,0,62.93,Winter
25-02-2022,S005,P0019,Groceries,North,302,194,106,190.34,29.76,15,Cloudy,1,32.72,Winter
06-02-2022,S005,P0019,Toys,West,209,47,69,51.81,33.59,10,Snowy,1,30.06,Summer
02-05-2022,S004,P0008,Furniture,South,478,44,50,50.04,95.05,5,Snowy,1,99.14,Summer
10-04-2022,S003,P0016,Groceries,West,216,28,91,23.94,32.15,20,Cloudy,0,34.04,Summer
21-05-2022,S005,P0005,Groceries,South,389,32,113,35.08,48.05,5,Snowy,1,45.35,Summer
10-03-2022,S005,P0001,Groceries,West,296,151,71,153.15,25.05,20,Rainy,0,25.74,Autumn
02-04-2022,S003,P0019,Electronics,East,235,71,187,62.98,47.31,0,Sunny,0,42.76,Spring
13-04-2022,S001,P0017,Toys,East,389,233,76,232.33,89.81,20,Sunny,0,90.34,Winter
14-02-2022,S001,P0002,Groceries,North,123,89,114,84.01,61.63,0,Sunny,0,62.22,Winter
19-04-2022,S001,P0005,Clothing,North,277,169,33,169.87,89.54,0,Sunny,1,88.79,Spring
01-03-2022,S002,P0012,Toys,West,175,90,130,94.92,53.6,15,Cloudy,1,50.52,Summer
16-01-2022,S002,P0003,Groceries,South,462,386,64,388.79,73.03,5,Snowy,0,75.83,Spring
24-04-2022,S001,P0007,Toys,North,246,3,130,13.05,30.78,20,Rainy,0,34.5,Spring
26-01-2022,S004,P0003,Groceries,East,272,66,82,80.53,72.52,15,Rainy,1,69.12,Winter
22-01-2022,S002,P0009,Electronics,South,99,92,146,86.98,31.0,20,Rainy,1,32.99,Autumn
11-01-2022,S005,P0007,Toys,North,143,82,177,86.28,61.03,0,Sunny,0,60.86,Summer
20-01-2022,S004,P0003,Clothing,South,450,117,76,115.52,61.72,5,Rainy,0,65.34,Summer
26-02-2022,S002,P0001,Electronics,East,102,48,127,63.52,59.84,5,Rainy,0,56.43,Winter
30-05-2022,S005,P0011,Groceries,South,361,148,113,146.42,84.27,5,Cloudy,1,88.34,Spring
09-05-2022,S002,P0018,Groceries,North,488,186,94,197.82,26.93,15,Sunny,0,30.06,Spring
31-01-2022,S004,P0006,Clothing,North,221,170,165,164.53,32.12,10,Snowy,0,32.23,Summer
08-05-2022,S002,P0003,Groceries,East,399,62,96,74.18,22.33,0,Cloudy,1,22.39,Spring
13-05-2022,S005,P0007,Electronics,West,186,133,185,126.75,43.14,15,Cloudy,0,39.48,Spring
06-02-2022,S001,P0016,Electronics,West,371,120,140,138.96,66.49,5,Sunny,1,66.73,Spring
24-04-2022,S004,P0014,Furniture,West,224,154,88,156.75,93.83,15,Rainy,1,93.61,Summer
04-05-2022,S004,P0004,Toys,East,241,30,156,21.84,56.42,15,Rainy,0,58.92,Winter
24-03-2022,S005,P0011,Furniture,North,77,49,197,62.44,95.01,0,Cloudy,0,92.12,Autumn
01-04-2022,S004,P0009,Clothing,North,355,80,198,82.02,71.52,15,Cloudy,0,73.1,Spring
14-01-2022,S003,P0007,Electronics,North,116,36,189,50.26,62.2,5,Rainy,1,65.03,Winter
29-03-2022,S004,P0010,Clothing,East,472,444,55,462.63,58.21,10,Cloudy,0,59.78,Spring
22-04-2022,S005,P0014,Clothing,North,290,221,198,213.26,49.17,10,Rainy,1,46.48,Spring
05-02-2022,S004,P0011,Clothing,East,388,264,37,273.71,35.98,5,Rainy,1,40.06,Winter
12-01-2022,S002,P0002,Toys,South,204,91,69,109.24,96.59,5,Snowy,1,98.29,Summer
16-01-2022,S002,P0014,Toys,North,192,190,73,193.06,81.22,20,Rainy,1,77.09,Winter
30-01-2022,S003,P0004,Groceries,North,192,122,152,129.95,37.77,15,Sunny,1,39.83,Autumn
29-04-2022,S002,P0009,Toys,North,70,16,165,29.9,19.51,15,Sunny,0,18.36,Summer
04-04-2022,S004,P0001,Clothing,South,179,145,87,155.91,98.48,15,Snowy,0,99.82,Winter
12-03-2022,S001,P0013,Toys,North,312,218,53,209.96,92.5,10,Sunny,1,92.56,Autumn
10-03-2022,S005,P0009,Clothing,East,245,98,51,104.09,93.47,20,Cloudy,0,90.21,Winter
24-04-2022,S002,P0017,Toys,North,495,269,108,263.1,42.76,20,Snowy,0,39.2,Winter
